encoding,code,clean_code,description,type,subtype
icd-09-mc,093.2,0932,Syphilitic Endocarditis,DIAG,
icd-09-mc,093.20,09320,Syphilitic Endocarditis Unspecified Valvular Syphilitic Endocarditis,DIAG,
icd-09-mc,093.21,09321,Syphilitic Endocarditis Mitral Valvular Syphilitic Endocarditis,DIAG,
icd-09-mc,093.22,09322,Syphilitic Endocarditis Aortic Valvular Syphilitic Endocarditis,DIAG,
icd-09-mc,093.23,09323,Syphilitic Endocarditis Syphilitic Endocarditis Tricuspid Valve,DIAG,
icd-09-mc,394,394,Mitral Valve Diseases,DIAG,
icd-09-mc,394.0,3940,Mitral Stenosis,DIAG,
icd-09-mc,394.1,3941,Rheumatic Mitral Insufficiency,DIAG,
icd-09-mc,394.2,3942,Mitral Stenosis With Insufficiency,DIAG,
icd-09-mc,394.9,3949,Other Diseases Of The Mitral Valve And Neomal Mitral Valve Disease,DIAG,
icd-09-mc,395,395,Aortic Valve Diseases,DIAG,
icd-09-mc,395.0,3950,Rheumatic Aortic Stenosis,DIAG,
icd-09-mc,395.1,3951,Rheumatic Aortic Stenosis,DIAG,
icd-09-mc,395.2,3952,Rheumatic Aortic Stenosis With Insufficiency,DIAG,
icd-09-mc,395.9,3959,Other Rheumatic Aortic Stenosis and Rheumatic Aortic Stenosis with Insufficiency Rheumatic Aortic Disease,DIAG,
icd-09-mc,396,396,Mitral And Aortic Valve Diseases,DIAG,
icd-09-mc,396.0,3960,Mitral And Aortic Valve Stenosis,DIAG,
icd-09-mc,396.1,3961,Mitral Valve Stenosis Mitral Valve Stenosis and Aortic Valve Insuf. Aortic Valve Stenosis,DIAG,
icd-09-mc,396.2,3962,Mitral Valve Mitral Valve Stenosis and Aortic Valve Insuf. Aortic Stenosis,DIAG,
icd-09-mc,396.3,3963,Mitral Valve Mitral Valve and Stenosis Aortic Valve,DIAG,
icd-09-mc,396.8,3968,Multiple Mitral and Aortic Valve Disease,DIAG,
icd-09-mc,396.9,3969,Diseases Of Mitral And Aortic Valve Not Specified,DIAG,
icd-09-mc,397,397,Diseases Of Other Endocardial Structures,DIAG,
icd-09-mc,397.0,3970,Diseases Of The Tricuspid Valve,DIAG,
icd-09-mc,397.1,3971,Rheumatic Diseases Of The Pulmonary Valve,DIAG,
icd-09-mc,397.9,3979,Rheumatic Endocardial Valve Diseases Unspecified,DIAG,
icd-09-mc,424,424,Other Endocardial Diseases,DIAG,
icd-09-mc,424.0,4240,Mitral Valve Disorders,DIAG,
icd-09-mc,424.1,4241,Aortic Valve Disorders,DIAG,
icd-09-mc,424.2,4242,Non-Rheumatic Tricuspid Valve Disorders,DIAG,
icd-09-mc,424.3,4243,Pulmonary Valve Disorders,DIAG,
icd-09-mc,424.9,4249,"Endocarditis, Unspecified Valve",DIAG,
icd-09-mc,424.90,42490,"Endocarditis Valvula Neom, Cause Neom",DIAG,
icd-09-mc,424.91,42491,Endocarditis In Other Diseases Classif. Under Other Concepts,DIAG,
icd-09-mc,424.99,42499,Endocarditis Ncoc,DIAG,
icd-09-mc,746.3,7463,Congenital Aortic Valve Stenosis,DIAG,
icd-09-mc,746.4,7464,Congenital Aortic Valve Insufficiency,DIAG,
icd-09-mc,746.5,7465,Congenital Mitral Stenosis,DIAG,
icd-09-mc,746.6,7466,Congenital Mitral Insufficiency,DIAG,
icd-09-mc,V42.2,V422,Heart Valve Transplant Status,DIAG,
icd-09-mc,V43.21,V4321,Cardiac Assist Device,DIAG,
icd-09-mc,V43.22,V4322,Fully Implantable Artificial Heart,DIAG,
icd-09-mc,V43.3,V433,Heart Valve Replacement,DIAG,
icd-10-mc,A52.03,A5203,Syphilitic Endocarditis,DIAG,
icd-10-mc,I05,I05,Rheumatic Mitral Valve Diseases,DIAG,
icd-10-mc,I05.0,I050,Rheumatic Mitral Stenosis,DIAG,
icd-10-mc,I05.1,I051,Rheumatic Mitral Insufficiency,DIAG,
icd-10-mc,I05.2,I052,Rheumatic Mitral Stenosis With Insufficiency ,DIAG,
icd-10-mc,I05.8,I058,Other Rheumatic Mitral Valve Diseases,DIAG,
icd-10-mc,I05.9,I059,"Rheumatic Mitral Valve Disease, Unspecified",DIAG,
icd-10-mc,I06,I06,Rheumatic Diseases Of The Aortic Valve,DIAG,
icd-10-mc,I06.0,I060,Rheumatic Aortic Stenosis,DIAG,
icd-10-mc,I06.1,I061,Rheumatic Aortic Insufficiency,DIAG,
icd-10-mc,I06.2,I062,Rheumatic Aortic Stenosis With Insufficiency,DIAG,
icd-10-mc,I06.8,I068,Other Rheumatic Aortic Valve Diseases,DIAG,
icd-10-mc,I06.9,I069,"Rheumatic Aortic Valve Disease, Unspecified",DIAG,
icd-10-mc,I07,I07,Rheumatic Tricuspid Valve Diseases,DIAG,
icd-10-mc,I07.0,I070,Rheumatic Tricuspid Stenosis,DIAG,
icd-10-mc,I07.1,I071,Rheumatic tricuspid insufficiency,DIAG,
icd-10-mc,I07.2,I072,Rheumatic tricuspid stenosis and insufficiency,DIAG,
icd-10-mc,I07.8,I078,Other Rheumatic Tricuspid Valve Diseases,DIAG,
icd-10-mc,I07.9,I079,"Rheumatic Tricuspid Valve Disease, Unspecified",DIAG,
icd-10-mc,I08,I08,Multiple Valvular Diseases,DIAG,
icd-10-mc,I08.0,I080,Rheumatic Disorders Of Both Mitral And Aortic Valves,DIAG,
icd-10-mc,I08.1,I081,Rheumatic Disorders Of Both Mitral Valve And Tricuspid Valve,DIAG,
icd-10-mc,I08.2,I082,Rheumatic Disorders Of Both The Aortic And Tricuspid Valves,DIAG,
icd-10-mc,I08.3,I083,"Combined Rheumatic Disorders Of The Mitral, Aortic And Tricuspid Valves",DIAG,
icd-10-mc,I08.8,I088,Other Multiple Valvular Rheumatic Valve Diseases,DIAG,
icd-10-mc,I08.9,I089,"Multiple Valvular Rheumatic Diseases, Not Otherwise Specified",DIAG,
icd-10-mc,I09,I09,Other Cardiac Rheumatic Diseases,DIAG,
icd-10-mc,I09.1,I091,"Endocardial Rheumatic Diseases, Unspecified Valve",DIAG,
icd-10-mc,I09.89,I0989,"Other Cardiac Rheumatic Diseases, Unspecified",DIAG,
icd-10-mc,I34,I34,"Mitral Valve Disorders, Non-Rheumatic",DIAG,
icd-10-mc,I34.0,I340,"Mitral Valve (Valve) Insufficiency, Nonrheumatic",DIAG,
icd-10-mc,I34.1,I341,Mitral (Valve) Prolapse (Nonrheumatic) Mitral Valve Prolapse,DIAG,
icd-10-mc,I34.2,I342,Non-Rheumatic Mitral (Valve) Stenosis,DIAG,
icd-10-mc,I34.8,I348,Other Non-Rheumatic Mitral Valve Disorders,DIAG,
icd-10-mc,I34.9,I349,"Nonrheumatic Mitral Valve Disorder, Nonrheumatic, Not Specified",DIAG,
icd-10-mc,I35,I35,"Aortic Valve Disorders, Nonrheumatic",DIAG,
